command,label,date,time
what time it is,time,25-09-2024,19:05:20
Can you what time it is,time,25-09-2024,16:53:02
is time what it,time,25-09-2024,14:33:15
time what is it,time,25-09-2024,16:26:22
today is which date,date,25-09-2024,12:03:07
which date is today,date,25-09-2024,12:50:26
which date is today,date,25-09-2024,23:56:41
Can you today is which date,date,25-09-2024,22:32:17
how is today's weather,weather,25-09-2024,13:30:50
"how is today's weather, please",weather,25-09-2024,19:01:35
Can you how is today's weather,weather,25-09-2024,19:42:23
"how is today's weather, please",weather,25-09-2024,11:57:25
play song,music,25-09-2024,22:08:28
"play song, please",music,25-09-2024,23:16:40
"play song, please",music,25-09-2024,18:10:35
"play song, please",music,25-09-2024,19:46:39
open calculator,open,25-09-2024,13:57:35
Can you open calculator,open,25-09-2024,13:39:32
calculator open,open,25-09-2024,17:06:13
calculator open,open,25-09-2024,11:35:10
open notepad,open,25-09-2024,11:23:43
open notepad,open,25-09-2024,20:04:37
Can you open notepad,open,25-09-2024,14:55:58
"open notepad, please",open,25-09-2024,21:52:17
time it what is,time,25-09-2024,15:09:53
which is date today,date,25-09-2024,20:38:59
is how weather today's,weather,25-09-2024,11:51:00
Can you play song,music,25-09-2024,11:16:03
"open calculator, please",open,25-09-2024,20:11:53
open notepad,open,25-09-2024,17:14:03
Can you what time it is,time,25-09-2024,19:04:21
"today is which date, please",date,25-09-2024,19:50:32
is how today's weather,weather,25-09-2024,15:48:01
song play,music,25-09-2024,16:50:39
Can you open calculator,open,25-09-2024,11:29:22
"open notepad, please",open,25-09-2024,12:58:14
"what time it is, please",time,25-09-2024,14:05:08
"today is which date, please",date,25-09-2024,10:17:41
Can you how is today's weather,weather,25-09-2024,15:37:27
"play song, please",music,25-09-2024,18:55:57
Can you open calculator,open,25-09-2024,21:42:27
"open notepad, please",open,25-09-2024,19:20:04
"what time it is, please",time,25-09-2024,22:24:19
Can you today is which date,date,25-09-2024,13:27:04
"how is today's weather, please",weather,25-09-2024,11:18:16
Can you play song,music,25-09-2024,21:48:00
calculator open,open,25-09-2024,11:12:43
Can you open notepad,open,25-09-2024,12:15:16
Can you what time it is,time,25-09-2024,18:55:34
"today is which date, please",date,25-09-2024,11:18:54
Can you how is today's weather,weather,25-09-2024,14:42:51
"play song, please",music,25-09-2024,17:11:37
open calculator,open,25-09-2024,21:59:31
Can you open notepad,open,25-09-2024,17:51:01
Can you what time it is,time,25-09-2024,15:41:21
is which date today,date,25-09-2024,20:44:39
how weather today's is,weather,25-09-2024,23:08:42
"play song, please",music,25-09-2024,19:10:10
Can you open calculator,open,25-09-2024,10:08:15
"open notepad, please",open,25-09-2024,23:35:30
Can you what time it is,time,25-09-2024,12:56:16
"today is which date, please",date,25-09-2024,23:15:18
Can you how is today's weather,weather,25-09-2024,13:35:35
"play song, please",music,25-09-2024,11:22:35
calculator open,open,25-09-2024,23:35:45
open notepad,open,25-09-2024,10:43:43
Can you what time it is,time,25-09-2024,14:36:17
"today is which date, please",date,25-09-2024,22:48:13
today's how weather is,weather,25-09-2024,10:58:59
Can you play song,music,25-09-2024,14:41:33
"open calculator, please",open,25-09-2024,10:38:40
"open notepad, please",open,25-09-2024,13:50:43
"what time it is, please",time,25-09-2024,16:24:39
"today is which date, please",date,25-09-2024,22:52:05
"how is today's weather, please",weather,25-09-2024,11:16:09
song play,music,25-09-2024,19:35:52
Can you open calculator,open,25-09-2024,13:32:44
"open notepad, please",open,25-09-2024,20:15:08
is time it what,time,25-09-2024,20:19:48
Can you today is which date,date,25-09-2024,13:42:47
Can you how is today's weather,weather,25-09-2024,20:34:07
Can you play song,music,25-09-2024,14:06:55
"open calculator, please",open,25-09-2024,12:20:26
notepad open,open,25-09-2024,22:59:59
"what time it is, please",time,25-09-2024,20:37:24
Can you today is which date,date,25-09-2024,10:16:15
Can you how is today's weather,weather,25-09-2024,21:06:03
Can you play song,music,25-09-2024,20:46:28
open calculator,open,25-09-2024,18:08:31
Can you open notepad,open,25-09-2024,21:17:13
"what time it is, please",time,25-09-2024,17:03:44
"today is which date, please",date,25-09-2024,12:24:55
how is today's weather,weather,25-09-2024,11:25:30
Can you play song,music,25-09-2024,18:20:49
"open calculator, please",open,25-09-2024,11:24:09
"open notepad, please",open,25-09-2024,17:58:59
time is what it,time,25-09-2024,23:24:59
Can you today is which date,date,25-09-2024,10:42:02
today's how is weather,weather,25-09-2024,16:17:49
"play song, please",music,25-09-2024,15:21:08
can you tell me what time it is,time,25-09-2024,13:13:58
can you tell me how is the weather,weather,25-09-2024,23:21:20
search what is the price of cooler,search,25-09-2024,13:04:37
what time it is,time,25-09-2024,21:08:18
what is weather,weather,25-09-2024,12:37:02
can you please tell me what weather it is,weather,25-09-2024,10:35:44
can you please tell me what time it is,time,25-09-2024,18:23:44
can you please tell me what whether it is,weather,25-09-2024,23:59:34
which date it is,date,25-09-2024,23:36:39
what time it is,time,25-09-2024,20:41:59
what is the weather here,weather,25-09-2024,22:14:53
can you open youtube and play some song for me,music,25-09-2024,19:15:13
can you tell me what time it is,time,25-09-2024,17:32:43
can you play some music for,music,25-09-2024,11:53:05
yes can you please tell me what is weather,weather,25-09-2024,17:44:58
open youtube,open,25-09-2024,21:56:45
tell me about weather,weather,25-09-2024,21:54:28
what time it is,time,26-09-2024,17:29:49
play some music for,music,26-09-2024,21:35:52
what is the price of cooler,search,26-09-2024,21:37:21
what is the weather of nagpur,weather,26-09-2024,21:47:44
what is the price of india ka,search,26-09-2024,21:48:47
what is the weather of,weather,26-09-2024,22:31:29
how is the weather,weather,26-09-2024,22:47:22
how is the weather,weather,26-09-2024,22:47:37
tell me the weather,weather,26-09-2024,23:10:24
search the hindu,search,27-09-2024,10:44:22
play some music for me,music,27-09-2024,11:30:21
tujhe alag kariye,open,27-09-2024,11:34:43
search population,open,27-09-2024,11:44:18
population,open,27-09-2024,11:44:32
search for population,open,27-09-2024,11:44:45
search population,open,27-09-2024,11:49:53
ab yah problem solve,open,27-09-2024,11:50:08
search for some music on youtube,music,27-09-2024,12:39:11
it is time what,time,28-09-2024,18:50:20
is time it you Can what,time,28-09-2024,15:08:02
it what is time,time,28-09-2024,12:30:15
time what it is,time,28-09-2024,18:19:22
today which date is,date,28-09-2024,12:09:07
which is date today,date,28-09-2024,12:47:26
is today date which,date,28-09-2024,00:11:41
which is today date Can you,date,28-09-2024,21:34:17
today's how is weather,weather,28-09-2024,16:18:50
"please how weather, today's is",weather,28-09-2024,15:56:35
how today's you weather Can is,weather,28-09-2024,18:57:23
